,daily_request_token_count,date,date_timestamp,execution_id,query_id,state,submitted_at,execution_started_at,execution_ended_at,expires_at,cancelled_at
19,2119525,2022-10-01 01:00:59,2022-10-01 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
20,2023520,2022-10-02 01:00:59,2022-10-02 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
21,1678061,2022-10-03 01:00:59,2022-10-03 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
22,1734432,2022-10-04 01:00:59,2022-10-04 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
23,1716044,2022-10-05 01:00:59,2022-10-05 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
24,1939862,2022-10-06 01:00:59,2022-10-06 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
25,2000951,2022-10-07 01:00:59,2022-10-07 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
26,2329536,2022-10-08 01:00:59,2022-10-08 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
27,2329536,2022-10-08 09:05:59,2022-10-08 09:05:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
28,2309365,2022-10-09 01:00:59,2022-10-09 01:00:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
29,810717,2022-10-11 23:59:59,2022-10-11 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
30,2043366,2022-10-12 23:59:59,2022-10-12 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
31,2065107,2022-10-13 23:59:59,2022-10-13 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
32,1862792,2022-11-03 23:59:59,2022-11-03 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
33,1703301,2022-11-04 23:59:59,2022-11-04 23:59:59.000 UTC,01JE07B1GQQNBA8ZNY78V1VTFB,3808352,ExecutionState.COMPLETED,2024-12-01 04:23:25.977108+00:00,2024-12-01 04:23:30.607298+00:00,2024-12-01 04:23:33.749715+00:00,2025-03-01 04:23:33.749717+00:00,
